ChildId, ChildAddress, ParentName, Internet, SourceDate, DirectPercent, TotalPercent
HR67131617872, ,The security is delisted,https://zse.hr/en/papir-311/310?isin=HRBLSCRA0003&tab=stock_info,20230902,,
HR27759560625, ,ZAGREBAČKA BANKA D.D.,https://zse.hr/en/papir-311/310?isin=HRINA0RA0007&tab=stock_info,20230902,49.08 ,49.08 
HR27759560625, ,MINISTARSTVO FINANCIJA/REPUBLIKA HRVATSKA,https://zse.hr/en/papir-311/310?isin=HRINA0RA0007&tab=stock_info,20230902,44.84 ,44.84 
HR27759560625, ,OTP BANKA D.D./AZ OMF KATEGORIJE B,https://zse.hr/en/papir-311/310?isin=HRINA0RA0007&tab=stock_info,20230902,2.28 ,2.28 
HR27759560625, ,PRIVREDNA BANKA ZAGREB D.D./RAIFFEISEN OMF KATEGORIJE B,https://zse.hr/en/papir-311/310?isin=HRINA0RA0007&tab=stock_info,20230902,0.80 ,0.80 
HR27759560625, ,ERSTE & STEIERMARKISCHE BANK D.D./PBZ CO OMF - KATEGORIJA B,https://zse.hr/en/papir-311/310?isin=HRINA0RA0007&tab=stock_info,20230902,0.66 ,0.66 
HR27759560625, ,INTERKAPITAL VRIJEDNOSNI PAPIRI D.O.O.,https://zse.hr/en/papir-311/310?isin=HRINA0RA0007&tab=stock_info,20230902,0.50 ,0.50 
HR27759560625, ,OTP BANKA D.D./ERSTE PLAVI OMF KATEGORIJE B,https://zse.hr/en/papir-311/310?isin=HRINA0RA0007&tab=stock_info,20230902,0.46 ,0.46 
HR27759560625, ,RAIFFEISEN BANK INTERNATIONAL AG,https://zse.hr/en/papir-311/310?isin=HRINA0RA0007&tab=stock_info,20230902,0.21 ,0.21 
HR27759560625, ,ZAGREBAČKA BANKA D.D./AZ PROFIT OTVORENI DOBROVOLJNI MIROVINSKI FOND,https://zse.hr/en/papir-311/310?isin=HRINA0RA0007&tab=stock_info,20230902,0.11 ,0.11 
HR27759560625, ,OTP BANKA D.D./ERSTE PLAVI EXPERT - DOBROVOLJNI MIROVINSKI FOND,https://zse.hr/en/papir-311/310?isin=HRINA0RA0007&tab=stock_info,20230902,0.01 ,0.01 
HR18928523252, ,ERSTE & STEIERMARKISCHE BANK D.D./PBZ CO OMF - KATEGORIJA B,https://zse.hr/en/papir-311/310?isin=HRPODRRA0004&tab=stock_info,20230902,15.42 ,15.42 
HR18928523252, ,OTP BANKA D.D./AZ OMF KATEGORIJE B,https://zse.hr/en/papir-311/310?isin=HRPODRRA0004&tab=stock_info,20230902,13.10 ,13.10 
HR18928523252, ,CERP/HZMO,https://zse.hr/en/papir-311/310?isin=HRPODRRA0004&tab=stock_info,20230902,10.22 ,10.22 
HR18928523252, ,OTP BANKA D.D./ERSTE PLAVI OMF KATEGORIJE B,https://zse.hr/en/papir-311/310?isin=HRPODRRA0004&tab=stock_info,20230902,8.96 ,8.96 
HR18928523252, ,PRIVREDNA BANKA ZAGREB D.D./RAIFFEISEN OMF KATEGORIJE B,https://zse.hr/en/papir-311/310?isin=HRPODRRA0004&tab=stock_info,20230902,8.78 ,8.78 
HR18928523252, ,CERP/REPUBLIKA HRVATSKA,https://zse.hr/en/papir-311/310?isin=HRPODRRA0004&tab=stock_info,20230902,6.36 ,6.36 
HR18928523252, ,HPB D.D./KAPITALNI FOND D.D.,https://zse.hr/en/papir-311/310?isin=HRPODRRA0004&tab=stock_info,20230902,5.71 ,5.71 
HR18928523252, ,MESNA INDUSTRIJA BRAĆA PIVAC D.O.O.,https://zse.hr/en/papir-311/310?isin=HRPODRRA0004&tab=stock_info,20230902,5.21 ,5.21 
HR18928523252, ,HPB D.D./REPUBLIKA HRVATSKA,https://zse.hr/en/papir-311/310?isin=HRPODRRA0004&tab=stock_info,20230902,2.35 ,2.35 
HR18928523252, ,PODRAVKA D.D. (1/1),https://zse.hr/en/papir-311/310?isin=HRPODRRA0004&tab=stock_info,20230902,1.49 ,1.49 
HR88429213928, ,The security is delisted,https://zse.hr/en/papir-311/310?isin=HRHZVGRA0002&tab=stock_info,20230902,,
HR40174736344, ,PIK d. d.,The security is delisted,https://zse.hr/en/papir-311/310?isin=HRPIKRRA0003&tab=stock_info,20230902,,
